Ticket,Symbol,Type,Open time,Open price,Size,Close time,Close price,Time in trade,Profit/Loss,Cummulative P/L,Comm/Swap,P/L in money,Cummulative money P/L,P/L in pips,Cummulative pips P/L,P/L in %,Cummulative % P/L,Comment,Sample type
3,XAUUSD,Buy,02.01.2020 16:36:00,1530.15,8.97,02.01.2020 16:40:04,1529.09,4m 4s,-1019.42,-1019.42,-68.6,-1019.42,-1019.42,-10600,-10600,-1.02,-1.02,sl 1529.09,IS
5,XAUUSD,Buy,02.01.2020 17:31:00,1531.08,8.76,02.01.2020 17:34:54,1529.95,3m 54s,-1056.92,-2076.34,-67.04,-1056.92,-2076.34,-11300,-21900,-1.07,-2.09,sl 1529.96,IS
2,XAUUSD,Buy,02.01.2020 16:36:00,1530.2,1.85,02.01.2020 19:16:52,1524.58,2h 40m,-1053.83,-3130.17,-14.13,-1053.83,-3130.17,-56200,-78100,-1.08,-3.16,sl 1524.66,IS
8,XAUUSD,Buy,02.01.2020 23:45:01,1528.75,1.93,03.01.2020 03:00:05,1530.8,3h 15m,277.82,-2852.35,-117.83,277.82,-2852.35,20500,-57600,0.29,-2.88,,IS
11,XAUUSD,Buy,03.01.2020 20:38:00,1552.16,7.56,03.01.2020 20:40:02,1550.74,2m 2s,-1132.17,-3984.52,-58.65,-1132.17,-3984.52,-14200,-71800,-1.17,-4.04,sl 1550.88,IS
10,XAUUSD,Buy,03.01.2020 20:38:00,1552.16,1.78,03.01.2020 21:43:35,1546.37,1h 5m,-1044.41,-5028.93,-13.79,-1044.41,-5028.93,-57900,-129700,-1.09,-5.13,sl 1546.73,IS
14,XAUUSD,Buy,06.01.2020 23:00:00,1565.61,1.89,07.01.2020 08:06:57,1567.62,9h 6m,264.15,-4764.78,-115.74,264.15,-4764.78,20100,-109600,0.28,-4.85,,IS
16,XAUUSD,Buy,07.01.2020 23:51:03,1573.88,1.9,08.01.2020 01:02:16,1575.52,1h 11m,195.18,-4569.6,-116.42,195.18,-4569.6,16400,-93200,0.2,-4.65,,IS
17,XAUUSD,Buy,07.01.2020 23:51:03,1573.88,1.9,08.01.2020 01:02:16,1575.52,1h 11m,195.18,-4374.42,-116.42,195.18,-4374.42,16400,-76800,0.2,-4.44,,IS
20,XAUUSD,Buy,08.01.2020 23:11:00,1557.51,1.91,09.01.2020 03:36:35,1560.65,4h 25m,278.87,-4095.55,-320.87,278.87,-4095.55,31400,-45400,0.29,-4.15,,IS
22,XAUUSD,Buy,09.01.2020 23:00:00,1551.14,1.91,09.01.2020 23:34:23,1552.13,34m 23s,174.27,-3921.28,-14.82,174.27,-3921.28,9900,-35500,0.18,-3.97,,IS
23,XAUUSD,Buy,09.01.2020 23:00:00,1551.14,1.91,09.01.2020 23:34:23,1552.13,34m 23s,174.27,-3747.01,-14.82,174.27,-3747.01,9900,-25600,0.18,-3.79,,IS
27,XAUUSD,Buy,17.01.2020 20:26:00,1561.07,6.63,17.01.2020 20:30:18,1559.66,4m 18s,-986.55,-4733.56,-51.72,-986.55,-4733.56,-14100,-39700,-1.02,-4.81,sl 1559.68,IS
29,XAUUSD,Buy,17.01.2020 23:00:00,1557.25,1.9,20.01.2020 01:04:22,1558.79,2d 2h 4m,176.34,-4557.22,-116.26,176.34,-4557.22,15400,-24300,0.19,-4.63,,IS
30,XAUUSD,Buy,17.01.2020 23:00:00,1557.25,1.9,20.01.2020 01:04:23,1558.8,2d 2h 4m,178.24,-4378.98,-116.26,178.24,-4378.98,15500,-8800,0.19,-4.44,,IS
26,XAUUSD,Buy,17.01.2020 20:26:00,1561.13,1.76,21.01.2020 03:19:35,1565.83,3d 6h 53m,625.48,-3753.5,-201.72,625.48,-3753.5,47000,38200,0.65,-3.79,tp 1565.82,IS
35,XAUUSD,Sell,21.01.2020 16:32:00,1546.76,7.33,21.01.2020 16:33:58,1548.02,1m 58s,-980.29,-4733.79,-56.71,-980.29,-4733.79,-12600,25600,-1.02,-4.8,sl 1547.99,IS
34,XAUUSD,Sell,21.01.2020 16:32:00,1546.68,1.77,21.01.2020 16:56:24,1552.18,24m 24s,-987.21,-5721,-13.71,-987.21,-5721,-55000,-29400,-1.04,-5.84,sl 1552.17,IS
38,XAUUSD,Buy,21.01.2020 23:31:01,1558.9,1.87,22.01.2020 14:13:02,1556.05,14h 42m,-647.37,-6368.37,-114.42,-647.37,-6368.37,-28500,-57900,-0.69,-6.53,,IS
39,XAUUSD,Buy,21.01.2020 23:31:01,1558.9,1.87,22.01.2020 14:13:02,1556.05,14h 42m,-647.37,-7015.74,-114.42,-647.37,-7015.74,-28500,-86400,-0.69,-7.22,,IS
42,XAUUSD,Buy,23.01.2020 23:00:00,1562.5,1.85,23.01.2020 23:47:02,1563.56,47m 2s,181.64,-6834.1,-14.46,181.64,-6834.1,10600,-75800,0.2,-7.02,,IS
43,XAUUSD,Buy,23.01.2020 23:00:01,1562.49,1.85,23.01.2020 23:47:02,1563.56,47m 1s,183.49,-6650.61,-14.46,183.49,-6650.61,10700,-65100,0.2,-6.83,,IS
46,XAUUSD,Buy,23.01.2020 23:52:01,1563.14,1.85,24.01.2020 14:34:00,1558.93,14h 41m,-892.08,-7542.69,-113.23,-892.08,-7542.69,-42100,-107200,-0.96,-7.78,,IS
47,XAUUSD,Buy,23.01.2020 23:52:01,1563.14,1.85,24.01.2020 14:34:00,1558.91,14h 41m,-895.78,-8438.47,-113.23,-895.78,-8438.47,-42300,-149500,-0.97,-8.75,,IS
50,XAUUSD,Buy,24.01.2020 17:19:00,1569,1.66,24.01.2020 17:26:49,1573.79,7m 49s,782.1,-7656.37,-13.04,782.1,-7656.37,47900,-101600,0.85,-7.9,tp 1573.79,IS
53,XAUUSD,Buy,24.01.2020 23:00:00,1571.73,1.83,27.01.2020 01:01:00,1580.53,2d 2h 1m,1498.26,-6158.11,-112.14,1498.26,-6158.11,88000,-13600,1.62,-6.27,,IS
54,XAUUSD,Buy,24.01.2020 23:00:00,1571.83,1.83,27.01.2020 01:01:00,1580.74,2d 2h 1m,1518.39,-4639.72,-112.14,1518.39,-4639.72,89100,75500,1.62,-4.66,,IS
51,XAUUSD,Buy,24.01.2020 17:19:00,1569,6.22,27.01.2020 01:07:46,1586.76,2d 7h 48m,10665.5,6025.78,-381.22,10665.5,6025.78,177600,253100,11.18,6.53,tp 1586.65,IS
58,XAUUSD,Buy,27.01.2020 23:35:00,1582.68,2.12,28.01.2020 14:17:00,1574.74,14h 42m,-1813.23,4212.55,-129.95,-1813.23,4212.55,-79400,173700,-1.71,4.82,,IS
60,XAUUSD,Buy,28.01.2020 23:00:00,1569.33,2.08,29.01.2020 11:32:49,1571.33,12h 32m,288.6,4501.15,-127.4,288.6,4501.15,20000,193700,0.28,5.09,,IS
62,XAUUSD,Buy,29.01.2020 23:29:00,1576.77,2.08,30.01.2020 02:31:59,1579.38,3h 2m,193.25,4694.4,-349.63,193.25,4694.4,26100,219800,0.18,5.28,,IS
63,XAUUSD,Buy,29.01.2020 23:29:00,1576.77,2.08,30.01.2020 02:31:59,1579.38,3h 2m,193.25,4887.65,-349.63,193.25,4887.65,26100,245900,0.18,5.46,,IS
66,XAUUSD,Buy,30.01.2020 23:00:00,1577.19,2.08,31.01.2020 11:37:03,1579.25,12h 37m,301,5188.65,-127.48,301,5188.65,20600,266500,0.29,5.75,,IS
69,XAUUSD,Buy,31.01.2020 17:50:00,1587.01,6.45,31.01.2020 18:43:58,1585.33,53m 58s,-1134.75,4053.9,-51.15,-1134.75,4053.9,-16800,249700,-1.08,4.67,sl 1585.39,IS
68,XAUUSD,Buy,31.01.2020 17:50:00,1587.02,1.89,31.01.2020 19:12:31,1581.46,1h 22m,-1065.81,2988.09,-14.97,-1065.81,2988.09,-55600,194100,-1.02,3.65,sl 1581.48,IS
72,XAUUSD,Buy,31.01.2020 23:00:00,1586.83,2.04,31.01.2020 23:21:22,1587.84,21m 22s,175.57,3163.66,-16.19,175.57,3163.66,10100,204200,0.17,3.82,,IS
73,XAUUSD,Buy,31.01.2020 23:00:00,1586.9,2.04,31.01.2020 23:26:02,1588.35,26m 2s,293.89,3457.55,-16.19,293.89,3457.55,14500,218700,0.28,4.1,,IS
76,XAUUSD,Buy,03.02.2020 23:00:00,1576.36,2.06,04.02.2020 01:01:00,1578.67,2h 1m,349.61,3807.16,-126.25,349.61,3807.16,23100,241800,0.34,4.44,,IS
77,XAUUSD,Buy,03.02.2020 23:00:00,1576.35,2.06,04.02.2020 01:01:00,1578.68,2h 1m,353.73,4160.89,-126.25,353.73,4160.89,23300,265100,0.34,4.78,,IS
81,XAUUSD,Sell,04.02.2020 16:03:00,1559.34,5.81,04.02.2020 16:26:32,1561.27,23m 32s,-1166.66,2994.23,-45.33,-1166.66,2994.23,-19300,245800,-1.12,3.66,sl 1561.13,IS
80,XAUUSD,Sell,04.02.2020 16:03:00,1559.34,1.9,04.02.2020 17:25:38,1554.66,1h 22m,874.41,3868.64,-14.79,874.41,3868.64,46800,292600,0.85,4.51,tp 1554.66,IS
85,XAUUSD,Sell,04.02.2020 19:10:00,1550.71,1.91,05.02.2020 03:00:39,1556.14,7h 50m,-989.12,2879.52,48.01,-989.12,2879.52,-54300,238300,-0.95,3.56,sl 1556.14,IS
86,XAUUSD,Buy,04.02.2020 23:05:00,1554.36,2.06,05.02.2020 03:00:43,1556.4,3h 55m,294.22,3173.74,-126.02,294.22,3173.74,20400,258700,0.29,3.84,,IS
83,XAUUSD,Sell,04.02.2020 17:22:00,1556.46,5.68,05.02.2020 07:12:38,1558.27,13h 50m,-885.44,2288.3,142.64,-885.44,2288.3,-18100,240600,-0.86,2.99,sl 1558.27,IS
90,XAUUSD,Buy,05.02.2020 23:00:00,1557,2.04,06.02.2020 09:46:33,1559.63,10h 46m,193.82,2482.12,-342.7,193.82,2482.12,26300,266900,0.19,3.18,,IS
91,XAUUSD,Buy,05.02.2020 23:00:00,1557.01,2.04,06.02.2020 09:46:33,1559.63,10h 46m,191.78,2673.9,-342.7,191.78,2673.9,26200,293100,0.19,3.36,,IS
94,XAUUSD,Buy,06.02.2020 23:00:00,1566.21,2.04,07.02.2020 02:43:11,1567.77,3h 43m,181.07,2854.97,-124.93,181.07,2854.97,15600,308700,0.18,3.54,,IS
95,XAUUSD,Buy,06.02.2020 23:00:00,1566.27,2.04,07.02.2020 02:45:36,1568.27,3h 45m,295.31,3150.28,-124.93,295.31,3150.28,20000,328700,0.29,3.83,,IS
99,XAUUSD,Buy,10.02.2020 19:37:00,1576.87,6.18,10.02.2020 20:16:46,1575.14,39m 46s,-1117.84,2032.44,-48.7,-1117.84,2032.44,-17300,311400,-1.08,2.74,sl 1575.14,IS
98,XAUUSD,Buy,10.02.2020 19:37:00,1576.81,1.85,11.02.2020 02:09:55,1571.26,6h 32m,-1140.1,892.34,-113.35,-1140.1,892.34,-55500,255900,-1.12,1.63,sl 1571.28,IS
103,XAUUSD,Buy,13.02.2020 17:06:00,1577.87,6.95,13.02.2020 17:08:55,1576.39,2m 55s,-1083.41,-191.07,-54.81,-1083.41,-191.07,-14800,241100,-1.07,0.55,sl 1576.41,IS
105,XAUUSD,Buy,13.02.2020 23:16:00,1576.34,1.99,14.02.2020 03:15:58,1577.93,3h 59m,194.45,3.38,-121.96,194.45,3.38,15900,257000,0.19,0.75,,IS
106,XAUUSD,Buy,13.02.2020 23:16:00,1576.34,1.99,14.02.2020 03:15:58,1577.95,3h 59m,198.43,201.81,-121.96,198.43,201.81,16100,273100,0.2,0.94,,IS
102,XAUUSD,Buy,13.02.2020 17:06:00,1577.86,1.81,14.02.2020 16:59:37,1582.55,23h 53m,737.94,939.75,-110.95,737.94,939.75,46900,320000,0.74,1.68,tp 1582.55,IS
111,XAUUSD,Buy,14.02.2020 23:00:00,1582.79,2,14.02.2020 23:27:19,1583.97,27m 19s,220.17,1159.92,-15.83,220.17,1159.92,11800,331800,0.22,1.9,,IS
112,XAUUSD,Buy,14.02.2020 23:00:01,1582.79,2,14.02.2020 23:27:19,1583.97,27m 18s,220.17,1380.09,-15.83,220.17,1380.09,11800,343600,0.22,2.12,,IS
109,XAUUSD,Buy,14.02.2020 16:37:00,1581.14,8.02,17.02.2020 09:55:23,1579.83,2d 17h 18m,-1542.27,-162.18,-491.65,-1542.27,-162.18,-13100,330500,-1.52,0.6,sl 1579.85,IS
115,XAUUSD,Buy,14.02.2020 23:52:02,1584.1,2.02,17.02.2020 14:38:00,1581.73,2d 14h 45m,-602.6,-764.78,-123.86,-602.6,-764.78,-23700,306800,-0.6,-0.01,,IS
116,XAUUSD,Buy,14.02.2020 23:52:03,1584.1,2.02,17.02.2020 14:38:00,1581.73,2d 14h 45m,-602.6,-1367.38,-123.86,-602.6,-1367.38,-23700,283100,-0.61,-0.62,,IS
