Ticket,Symbol,Type,Open time,Open price,Size,Close time,Close price,Time in trade,Profit/Loss,Cummulative P/L,Comm/Swap,P/L in money,Cummulative money P/L,P/L in pips,Cummulative pips P/L,P/L in %,Cummulative % P/L,Comment,Sample type
3072212661,XAUUSD,Buy,04.03.2025 23:07:03,2916.85,3,05.03.2025 08:01:40,2918.9,8h 54m,409.53,409.53,-205.47,409.53,409.53,20500,20500,0.41,0.41,,IS
3072520134,XAUUSD,Buy,05.03.2025 23:01:04,2921.82,3.01,06.03.2025 03:53:35,2924.77,4h 52m,403.29,812.82,-484.66,403.29,812.82,29500,50000,0.4,0.81,,IS
3072520135,XAUUSD,Buy,05.03.2025 23:01:04,2921.82,3.01,06.03.2025 03:52:15,2924.31,4h 51m,264.83,1077.65,-484.66,264.83,1077.65,24900,74900,0.26,1.07,,IS
3072784888,XAUUSD,Buy,06.03.2025 23:00:04,2909.29,3.03,06.03.2025 23:01:31,2910.93,1m 27s,452.83,1530.48,-44.09,452.83,1530.48,16400,91300,0.45,1.52,,IS
3072784889,XAUUSD,Buy,06.03.2025 23:00:04,2909.29,3.03,06.03.2025 23:00:52,2910.7,48s,383.14,1913.62,-44.09,383.14,1913.62,14100,105400,0.38,1.9,,IS
3072785139,XAUUSD,Buy,06.03.2025 23:01:31,2911.23,3.04,07.03.2025 01:23:29,2912.73,2h 21m,257.6,2171.22,-198.4,257.6,2171.22,15000,120400,0.25,2.15,,IS
3072785179,XAUUSD,Buy,06.03.2025 23:02:09,2911.14,3.05,07.03.2025 01:25:33,2913.16,2h 23m,417.05,2588.27,-199.05,417.05,2588.27,20200,140600,0.41,2.56,,IS
3073047686,XAUUSD,Buy,07.03.2025 23:01:02,2908.84,3.07,07.03.2025 23:09:24,2910.35,8m 22s,418.9,3007.17,-44.67,418.9,3007.17,15100,155700,0.41,2.97,,IS
3073358722,XAUUSD,Buy,10.03.2025 23:00:02,2885.44,3.09,10.03.2025 23:02:19,2886.97,2m 17s,428.18,3435.35,-44.59,428.18,3435.35,15300,171000,0.42,3.38,,IS
3073361078,XAUUSD,Buy,10.03.2025 23:20:01,2886.46,3.1,10.03.2025 23:38:13,2888,18m 12s,432.65,3868,-44.75,432.65,3868,15400,186400,0.42,3.8,,IS
3073364019,XAUUSD,Buy,10.03.2025 23:53:08,2887.9,3.11,10.03.2025 23:58:41,2889.26,5m 33s,378.05,4246.05,-44.91,378.05,4246.05,13600,200000,0.36,4.17,,IS
3073684547,XAUUSD,Buy,11.03.2025 23:00:03,2918.54,3.12,12.03.2025 09:12:35,2920.55,10h 12m,433.38,4679.43,-193.74,433.38,4679.43,20100,220100,0.42,4.58,,IS
3073684548,XAUUSD,Buy,11.03.2025 23:00:03,2918.54,3.12,12.03.2025 09:09:22,2920.03,10h 9m,271.14,4950.57,-193.74,271.14,4950.57,14900,235000,0.26,4.84,,IS
3073942941,XAUUSD,Buy,12.03.2025 23:00:04,2931.83,3.14,12.03.2025 23:37:43,2933.43,37m 39s,456.36,5406.93,-46.04,456.36,5406.93,16000,251000,0.43,5.28,,IS
3073942942,XAUUSD,Buy,12.03.2025 23:00:04,2931.83,3.14,12.03.2025 23:06:40,2932.85,6m 36s,274.25,5681.18,-46.03,274.25,5681.18,10200,261200,0.26,5.54,,IS
3073943872,XAUUSD,Buy,12.03.2025 23:09:17,2933.12,3.15,13.03.2025 01:45:52,2935.67,2h 36m,276.97,5958.15,-526.28,276.97,5958.15,25500,286700,0.26,5.8,,IS
3073946715,XAUUSD,Buy,12.03.2025 23:51:23,2932.48,3.16,13.03.2025 01:45:38,2935.54,1h 54m,439.02,6397.17,-527.94,439.02,6397.17,30600,317300,0.41,6.21,,IS
3074221795,XAUUSD,Buy,13.03.2025 23:00:01,2983,3.19,13.03.2025 23:29:24,2984.53,29m 23s,440.48,6837.65,-47.59,440.48,6837.65,15300,332600,0.41,6.63,,IS
3074221796,XAUUSD,Buy,13.03.2025 23:00:01,2983,3.19,13.03.2025 23:28:51,2984.03,28m 50s,280.98,7118.63,-47.59,280.98,7118.63,10300,342900,0.26,6.89,,IS
3074429453,XAUUSD,Buy,14.03.2025 23:01:03,2982.88,3.21,14.03.2025 23:36:53,2984.41,35m 50s,443.24,7561.87,-47.89,443.24,7561.87,15300,358200,0.41,7.3,,IS
3074622911,XAUUSD,Buy,17.03.2025 23:53:15,3001.38,3.22,18.03.2025 03:31:52,3003.21,3h 38m,377.02,7938.89,-212.24,377.02,7938.89,18300,376500,0.35,7.65,,IS
3074622912,XAUUSD,Buy,17.03.2025 23:53:15,3001.38,3.22,18.03.2025 03:31:19,3002.91,3h 38m,280.43,8219.32,-212.23,280.43,8219.32,15300,391800,0.26,7.91,,IS
3074801892,XAUUSD,Buy,18.03.2025 23:00:02,3035.85,3.24,19.03.2025 06:55:34,3038.05,7h 55m,497.39,8716.71,-215.41,497.39,8716.71,22000,413800,0.46,8.37,,IS
3074801893,XAUUSD,Buy,18.03.2025 23:00:02,3035.85,3.24,19.03.2025 06:54:04,3037.4,7h 54m,286.8,9003.51,-215.4,286.8,9003.51,15500,429300,0.26,8.64,,IS
3075001809,XAUUSD,Buy,19.03.2025 23:06:04,3045.24,3.27,19.03.2025 23:49:16,3046.88,43m 12s,486.48,9489.99,-49.8,486.48,9489.99,16400,445700,0.45,9.08,,IS
3075003227,XAUUSD,Buy,19.03.2025 23:30:02,3046.19,3.26,19.03.2025 23:50:35,3047.42,20m 33s,351.31,9841.3,-49.67,351.31,9841.3,12300,458000,0.32,9.4,,IS
3075249782,XAUUSD,Buy,20.03.2025 23:00:05,3045.28,3.29,21.03.2025 03:01:05,3047.41,4h 1m,486.16,10327.46,-214.61,486.16,10327.46,21300,479300,0.44,9.85,,IS
3075249783,XAUUSD,Buy,20.03.2025 23:00:05,3045.28,3.29,21.03.2025 03:00:03,3046.83,3h 59m,295.34,10622.8,-214.61,295.34,10622.8,15500,494800,0.27,10.11,,IS
3075449055,XAUUSD,Buy,21.03.2025 23:00:02,3020.23,3.31,21.03.2025 23:23:08,3021.75,23m 6s,453.13,11075.93,-49.99,453.13,11075.93,15200,510000,0.41,10.52,,IS
3075628008,XAUUSD,Buy,24.03.2025 23:01:03,3006.34,3.33,24.03.2025 23:16:31,3007.87,15m 28s,459.42,11535.35,-50.07,459.42,11535.35,15300,525300,0.41,10.94,,IS
